"NDC","Model","Accuracy","Precision","Recall"
"00713016550","Linear SVM (Trigate)","0.904","0.8353546490260934","0.7635203224722875"
"00487950125","Linear SVM (Trigate)","0.9224166666666667","0.8924154987633965","0.763668430335097"
"00517391025","Linear SVM (Trigate)","0.9201666666666667","0.9259195599862495","0.910889414947582"
"51079001920","Linear SVM (Trigate)","0.90175","0.9088503381358424","0.9170746180091974"
"11098003002","Linear SVM (Trigate)","0.9555833333333333","0.8881278538812786","0.44558991981672397"
"00054829725","Linear SVM (Trigate)","0.9373333333333334","0.8878787878787879","0.7209645669291339"
"00045025501","Linear SVM (Trigate)","0.9893333333333333","0.8","0.05970149253731343"
"00338055002","Linear SVM (Trigate)","0.8629166666666667","0.8852689558185867","0.918978102189781"
"00409131230","Linear SVM (Trigate)","0.9463333333333334","0.9095982142857143","0.5914368650217707"
"00045152510","Linear SVM (Trigate)","0.9379166666666666","0.87890625","0.6559766763848397"
"00074407532","Linear SVM (Trigate)","0.8781666666666667","0.8786707882534776","0.7748750567923671"
"51079080120","Linear SVM (Trigate)","0.91225","0.9044294655753491","0.8513482891457058"
"51079025520","Linear SVM (Trigate)","0.9106666666666666","0.9047058823529411","0.8521719858156028"
"00074176201","Linear SVM (Trigate)","0.87225","0.8633948108783995","0.7159149818558839"
"00781305714","Linear SVM (Trigate)","0.9768333333333333","0.875","0.1337579617834395"
"00054465025","Linear SVM (Trigate)","0.9520833333333333","0.8605619146722164","0.6522082018927445"
"00008084199","Linear SVM (Trigate)","0.9405833333333333","0.914349276974416","0.746255106672719"
"58177000104","Linear SVM (Trigate)","0.9385833333333333","0.9532278143339854","0.9187521426122729"
"00781188313","Linear SVM (Trigate)","0.9631666666666666","0.9347826086956522","0.559652928416486"
"00517293025","Linear SVM (Trigate)","0.9309166666666666","0.942630820931349","0.9572212065813528"
"00338355248","Linear SVM (Trigate)","0.9071666666666667","0.8467281510759772","0.7159301893798737"
"00002735501","Linear SVM (Trigate)","0.8994166666666666","0.8940955951265229","0.8348282651498578"
